name,mmsi,imo_number,vessel_type,flag,latitude,longitude,status,speed,course,heading,callsign,destination,eta,length,width,draught
OOCL MONTREAL,477321000,IMO477321000,Other,HK,50.589483333333334,-0.7420500000000001,underway,13.8,119.00,131,,,,,,
SALLY,367012660,IMO367012660,Other,🇺🇸,39.584015,-75.59082,underway,0.1,272.30,511,,,,,,
IRYNA II,232039136,IMO232039136,Other,GB,44.41692833333333,8.837485,moored,,240.30,282,,,,,,
ATLANTIC OAK,316004240,IMO316004240,Other,🏳️,44.62677833333333,-63.557633333333335,inactive,0.1,11.60,69,,,,,,
AN ORIANT,228488700,IMO228488700,Other,FR,47.74001666666666,-3.351766666666667,underway,,199.00,22,,,,,,
AMELAND,246629000,IMO246629000,Other,NL,43.50393,10.270365,anchored,0.2,186.70,303,,,,,,
ALTHEA,241808000,IMO241808000,Other,GR,37.02939833333333,-7.009603333333333,underway,0.9,83.10,230,,,,,,
MELITA 8,256000697,IMO256000697,Other,🏳️,35.83336666666666,14.548326666666666,underway,0.2,360.00,511,,,,,,
Z35 ORA ET LABORA,205240000,IMO205240000,Other,BE,50.09876166666666,-0.238595,fishing,4.6,88.20,77,,,,,,
MADELINE,367335830,IMO367335830,Other,🇺🇸,39.8926,-75.19152666666668,underway,,115.80,511,,,,,,
RNLI LIFEBOAT 16-22,235069214,IMO235069214,Other,GB,51.48786333333333,-9.371766666666668,underway,0.1,360.00,511,,,,,,
AQUA TERRA 7,566592000,IMO566592000,Other,SG,1.1974266666666666,103.74525166666668,underway,,326.50,101,,,,,,
INGHILTERRA,247129500,IMO247129500,Other,🏳️,44.411336666666664,8.920033333333333,underway,0.2,125.10,511,,,,,,
RNLI LIFEBOAT 17-24,232004399,IMO232004399,Other,GB,57.1439,-2.07926,underway,,311.70,511,,,,,,
CALA MESQUIDA,225999596,IMO225999596,Other,ES,41.30826166666667,2.149286666666667,underway,0.3,310.80,311,,,,,,
CORUISK,235008929,IMO235008929,Other,🇬🇧,55.83900666666667,-5.05248,underway,,310.70,276,,,,,,
Vessel-205275000,205275000,IMO205275000,Other,BE,50.01303166666666,-0.39549833333333334,fishing,2.6,275.20,257,,,,,,
BYD ZHENGZHOU,477155100,IMO477155100,Other,HK,39.63876666666667,-0.22194166666666665,moored,,174.90,121,,,,,,
VB PODER,224161170,IMO224161170,Other,🏳️,39.450195,-0.31790666666666667,underway,,223.10,511,,,,,,
VINDILIS,227003750,IMO227003750,Other,🇫🇷,47.384955,-3.139063333333333,inactive,11.6,181.60,177,,,,,,
MSC ASLI II,636018322,IMO636018322,Cargo,LR,41.308258333333335,2.1488,underway,0.3,302.10,216,,,,,,
JOLIE X,256002253,IMO256002253,Other,🇫🇷,43.56659166666667,7.0835550000000005,underway,0.1,,328,,,,,,
SAILING GRACE,319217900,IMO319217900,Sailing,KY,43.58482166666667,7.12754,moored,,163.80,80,,,,,,
DANIEL LAVAL,227023300,IMO227023300,Other,FR,49.45346,-0.019886666666666667,inactive,13.0,93.20,100,,,,,,
CAROLINE ESSBERGER,244024000,IMO244024000,Other,NL,37.160615,-6.8982833333333335,moored,,307.00,307,,,,,,
MAJU LOYALTY,563055600,IMO563055600,Other,SG,1.2490716666666666,103.71250666666667,underway,5.4,242.40,511,,,,,,
KERRY MORAN,367139770,IMO367139770,Other,🇺🇸,36.953358333333334,-76.32876833333333,underway,,297.60,100,,,,,,
GM MCALLISTER,367671170,IMO367671170,Other,US,32.85445166666667,-79.95326833333334,underway,,36.50,511,,,,,,
GRAPE APE,368324270,IMO368324270,Other,🇺🇸,39.9809,-75.07598166666666,active,,348.60,234,,,,,,
DELAWARE,367759150,IMO367759150,Other,🇺🇸,39.91709,-75.13677166666666,inactive,,181.50,511,,,,,,
OKIALOS,240671400,IMO240671400,Other,GR,37.91996833333334,23.599800000000002,underway,13.0,217.40,511,,,,,,
BOCHEM PEGASOS,477153500,IMO477153500,Tanker,HK,1.2007716666666668,103.68012166666668,underway,0.1,170.60,91,,,,,,
ECO ELYSIUM,229953000,IMO229953000,Other,MT,41.924216666666666,8.75185,underway,0.1,75.90,259,,,,,,
PERSEVERO,228285700,IMO228285700,Other,FR,41.925916666666666,8.745688333333334,underway,0.2,110.80,511,,,,,,
GV SERAPHIM PD170,232051042,IMO232051042,Other,GB,57.505165000000005,-1.7708799999999998,underway,,111.50,209,,,,,,
DB AVALON,368271280,IMO368271280,Other,🇺🇸,36.95572333333334,-76.33025333333333,inactive,,178.80,281,,,,,,
HURRICANE CLIPPER,235053188,IMO235053188,Other,GB,51.50936333333333,-0.100685,underway,11.2,92.80,511,,,,,,
KALLIOPI G,240205400,IMO240205400,Other,GR,37.961825,23.567811666666667,underway,,358.90,511,,,,,,
SAMSKIP HOFFELL,244860282,IMO244860282,Other,NL,58.958875,-4.079665,underway,12.8,299.20,296,,,,,,
SAGA CREST,311001604,IMO311001604,Other,🇺🇸,38.944845,-76.38933,underway,8.1,174.00,198,,,,,,
FV_ ARDENT,232006240,IMO232006240,Fishing,GB,57.506240000000005,-1.7718333333333334,underway,,217.80,15,,,,,,
MFV WHITE HEATHER VI,235004600,IMO235004600,Fishing,GB,54.45641333333333,-5.438066666666667,fishing,,359.40,511,,,,,,
VF M04,247155100,IMO247155100,Other,IT,38.445161666666664,15.90644,moored,0.1,360.00,511,,,,,,
CM NEPTUNE,305029300,IMO305029300,Other,🇬🇧,54.61266333333333,-5.914161666666667,moored,,319.70,39,,,,,,
PSA VELA,563087310,IMO563087310,Other,🇸🇬,1.2593133333333335,103.78980833333334,underway,0.5,114.00,286,,,,,,
ELIO,247378900,IMO247378900,Other,🏳️,38.223243333333336,15.632448333333334,underway,,175.30,146,,,,,,
ZIM NORFOLK,636016983,IMO636016983,Other,LR,33.00058166666667,34.85099666666667,underway,8.5,190.40,193,,,,,,
YK NEWPORT,374840000,IMO374840000,Other,🇺🇸,39.267021666666665,-76.57231499999999,moored,,85.50,86,,,,,,
RAMHAN,538010800,IMO538010800,Other,MH,1.1844166666666667,103.8512,underway,6.2,70.10,75,,,,,,
THUN BRITAIN,244329000,IMO244329000,Other,NL,57.249293333333334,-1.9108116666666668,underway,2.3,75.00,92,,,,,,
CONTE SAVOIA,247276700,IMO247276700,Other,IT,44.41972333333333,8.798084999999999,underway,,238.00,511,,,,,,
SUPER G,636023571,IMO636023571,Other,🏳️,34.18502333333333,32.62690166666667,underway,12.1,292.70,288,,,,,,
ASIM IMAMOGLU,271000829,IMO271000829,Other,TR,36.485145,27.922951666666666,underway,7.3,263.70,267,,,,,,
MOSAIQUE,319137700,IMO319137700,Other,KY,50.894753333333334,-1.3890166666666666,moored,,181.60,84,,,,,,
F/V SIRIUS PD-70,235095634,IMO235095634,Fishing,GB,50.830376666666666,-0.231655,fishing,,131.90,270,,,,,,
ANATIFE,227681520,IMO227681520,Other,FR,47.30556833333333,-2.081481666666667,underway,,310.90,94,,,,,,
