name,mmsi,imo_number,vessel_type,flag,latitude,longitude,status,speed,course,heading,callsign,destination,eta,length,width,draft
CHARLOTTE ESSBERGER 2,6564563563,IMO6564563563,Tanker,🇬🇧,0.0,0.0,moving,0.0,0.00,0,CALL563563,Unknown,2026-02-26 18:01:38.884547+00:00,100.00,20.00,8.00
Vessel-368292840,368292840,IMO368292840,Other,US,0.0,0.0,active,0.0,0.00,0,CALL292840,Unknown,2026-02-26 18:01:39.116714+00:00,100.00,20.00,8.00
Vessel-413906187,413906187,IMO413906187,Other,CN,0.0,0.0,active,0.0,0.00,0,CALL906187,Unknown,2026-02-26 18:01:39.290679+00:00,100.00,20.00,8.00
Vessel-413860385,413860385,IMO413860385,Other,CN,0.0,0.0,active,0.0,0.00,0,CALL860385,Unknown,2026-02-26 18:01:39.404277+00:00,100.00,20.00,8.00
Vessel-227773360,227773360,IMO227773360,Other,FR,0.0,0.0,active,0.0,0.00,0,CALL773360,Unknown,2026-02-26 18:01:39.484829+00:00,100.00,20.00,8.00
Vessel-370087000,370087000,IMO370087000,Other,PA,0.0,0.0,active,0.0,0.00,0,CALL087000,Unknown,2026-02-26 18:01:39.841093+00:00,100.00,20.00,8.00
Vessel-209156000,209156000,IMO209156000,Other,CY,0.0,0.0,active,0.0,0.00,0,CALL156000,Unknown,2026-02-26 18:01:39.967206+00:00,100.00,20.00,8.00
Vessel-563084230,563084230,IMO563084230,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL084230,Unknown,2026-02-26 18:01:40.076548+00:00,100.00,20.00,8.00
Vessel-338159853,338159853,IMO338159853,Other,US,0.0,0.0,active,0.0,0.00,0,CALL159853,Unknown,2026-02-26 18:01:40.172478+00:00,100.00,20.00,8.00
Vessel-212589000,212589000,IMO212589000,Other,CY,0.0,0.0,active,0.0,0.00,0,CALL589000,Unknown,2026-02-26 18:01:40.271721+00:00,100.00,20.00,8.00
Vessel-368371380,368371380,IMO368371380,Other,US,0.0,0.0,active,0.0,0.00,0,CALL371380,Unknown,2026-02-26 18:01:40.449948+00:00,100.00,20.00,8.00
Vessel-338426098,338426098,IMO338426098,Other,US,0.0,0.0,active,0.0,0.00,0,CALL426098,Unknown,2026-02-26 18:01:40.568377+00:00,100.00,20.00,8.00
Vessel-368257610,368257610,IMO368257610,Other,US,0.0,0.0,active,0.0,0.00,0,CALL257610,Unknown,2026-02-26 18:01:40.653988+00:00,100.00,20.00,8.00
Vessel-338165737,338165737,IMO338165737,Other,US,0.0,0.0,active,0.0,0.00,0,CALL165737,Unknown,2026-02-26 18:01:40.738276+00:00,100.00,20.00,8.00
Vessel-338543423,338543423,IMO338543423,Other,US,0.0,0.0,active,0.0,0.00,0,CALL543423,Unknown,2026-02-26 18:01:40.856597+00:00,100.00,20.00,8.00
Vessel-563147700,563147700,IMO563147700,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL147700,Unknown,2026-02-26 18:01:40.941596+00:00,100.00,20.00,8.00
Vessel-538012096,538012096,IMO538012096,Other,MH,0.0,0.0,active,0.0,0.00,0,CALL012096,Unknown,2026-02-26 18:01:41.030187+00:00,100.00,20.00,8.00
Vessel-563047100,563047100,IMO563047100,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL047100,Unknown,2026-02-26 18:01:41.156179+00:00,100.00,20.00,8.00
Vessel-441712000,441712000,IMO441712000,Other,KR,0.0,0.0,active,0.0,0.00,0,CALL712000,Unknown,2026-02-26 18:01:41.364425+00:00,100.00,20.00,8.00
Vessel-368444390,368444390,IMO368444390,Other,US,0.0,0.0,active,0.0,0.00,0,CALL444390,Unknown,2026-02-26 18:01:41.485772+00:00,100.00,20.00,8.00
Vessel-533133468,533133468,IMO533133468,Other,MY,0.0,0.0,active,0.0,0.00,0,CALL133468,Unknown,2026-02-26 18:01:41.588586+00:00,100.00,20.00,8.00
Vessel-368295020,368295020,IMO368295020,Other,US,0.0,0.0,active,0.0,0.00,0,CALL295020,Unknown,2026-02-26 18:01:41.673852+00:00,100.00,20.00,8.00
Vessel-367669230,367669230,IMO367669230,Other,US,0.0,0.0,active,0.0,0.00,0,CALL669230,Unknown,2026-02-26 18:01:41.784031+00:00,100.00,20.00,8.00
Vessel-235068165,235068165,IMO235068165,Other,GB,0.0,0.0,active,0.0,0.00,0,CALL068165,Unknown,2026-02-26 18:01:41.888422+00:00,100.00,20.00,8.00
Vessel-347016450,347016450,IMO347016450,Other,MQ,0.0,0.0,active,0.0,0.00,0,CALL016450,Unknown,2026-02-26 18:01:41.973159+00:00,100.00,20.00,8.00
Vessel-368221290,368221290,IMO368221290,Other,US,0.0,0.0,active,0.0,0.00,0,CALL221290,Unknown,2026-02-26 18:01:42.135857+00:00,100.00,20.00,8.00
Vessel-601713000,601713000,IMO601713000,Other,ZA,0.0,0.0,active,0.0,0.00,0,CALL713000,Unknown,2026-02-26 18:01:42.399246+00:00,100.00,20.00,8.00
Vessel-368165030,368165030,IMO368165030,Other,US,0.0,0.0,active,0.0,0.00,0,CALL165030,Unknown,2026-02-26 18:01:42.650961+00:00,100.00,20.00,8.00
Vessel-352003413,352003413,IMO352003413,Other,PA,0.0,0.0,active,0.0,0.00,0,CALL003413,Unknown,2026-02-26 18:01:42.839262+00:00,100.00,20.00,8.00
Vessel-338175958,338175958,IMO338175958,Other,US,0.0,0.0,active,0.0,0.00,0,CALL175958,Unknown,2026-02-26 18:01:43.004432+00:00,100.00,20.00,8.00
Vessel-408919000,408919000,IMO408919000,Other,BH,0.0,0.0,active,0.0,0.00,0,CALL919000,Unknown,2026-02-26 18:01:43.116321+00:00,100.00,20.00,8.00
Vessel-338523926,338523926,IMO338523926,Other,US,0.0,0.0,active,0.0,0.00,0,CALL523926,Unknown,2026-02-26 18:01:43.234420+00:00,100.00,20.00,8.00
Vessel-636020150,636020150,IMO636020150,Other,LR,0.0,0.0,active,0.0,0.00,0,CALL020150,Unknown,2026-02-26 18:01:43.375596+00:00,100.00,20.00,8.00
Vessel-368014340,368014340,IMO368014340,Other,US,0.0,0.0,active,0.0,0.00,0,CALL014340,Unknown,2026-02-26 18:01:43.460642+00:00,100.00,20.00,8.00
Vessel-227022800,227022800,IMO227022800,Other,FR,0.0,0.0,active,0.0,0.00,0,CALL022800,Unknown,2026-02-26 18:01:43.545083+00:00,100.00,20.00,8.00
Vessel-338314424,338314424,IMO338314424,Other,US,0.0,0.0,active,0.0,0.00,0,CALL314424,Unknown,2026-02-26 18:01:43.630448+00:00,100.00,20.00,8.00
Vessel-338383494,338383494,IMO338383494,Other,US,0.0,0.0,active,0.0,0.00,0,CALL383494,Unknown,2026-02-26 18:01:43.714949+00:00,100.00,20.00,8.00
Vessel-338384172,338384172,IMO338384172,Other,US,0.0,0.0,active,0.0,0.00,0,CALL384172,Unknown,2026-02-26 18:01:43.800643+00:00,100.00,20.00,8.00
Vessel-367137240,367137240,IMO367137240,Other,US,0.0,0.0,active,0.0,0.00,0,CALL137240,Unknown,2026-02-26 18:01:44.014288+00:00,100.00,20.00,8.00
Vessel-338488891,338488891,IMO338488891,Other,US,0.0,0.0,active,0.0,0.00,0,CALL488891,Unknown,2026-02-26 18:01:44.268542+00:00,100.00,20.00,8.00
Vessel-563068140,563068140,IMO563068140,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL068140,Unknown,2026-02-26 18:01:44.379584+00:00,100.00,20.00,8.00
Vessel-413848619,413848619,IMO413848619,Other,CN,0.0,0.0,active,0.0,0.00,0,CALL848619,Unknown,2026-02-26 18:01:44.564329+00:00,100.00,20.00,8.00
Vessel-249515000,249515000,IMO249515000,Other,MT,0.0,0.0,active,0.0,0.00,0,CALL515000,Unknown,2026-02-26 18:01:44.717085+00:00,100.00,20.00,8.00
